"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2008","NYM","2405","6388","172","799","751","138","9.7%","16.0%",".154",".296",".266",".340",".420",".332","","100","12.7","13.4","72.0","28.9"
"1915","CHW","1603","5838","25","717","598","233","10.0%","9.8%",".090",".288",".258",".345",".348",".340","","109","-23.1","34.8","27.8","28.9"
"1999","BAL","1958","6409","203","851","804","107","9.6%","13.9%",".169",".298",".279",".353",".447",".350","","107","0.7","56.7","21.7","28.9"
"1954","CHW","1878","5972","94","711","655","98","10.1%","9.0%",".112",".281",".267",".347",".379",".337","","99","1.2","-2.6","100.4","28.9"
"1940","CIN","1676","5986","89","707","649","72","7.6%","8.4%",".113",".280",".266",".327",".379",".326","","95","11.4","-24.4","128.5","28.8"
"1963","MIL","2097","6211","139","677","624","75","8.5%","15.4%",".127",".270",".244",".312",".370",".304","","98","-2.4","-19.3","75.3","28.8"
"1948","BOS","1679","6282","121","907","854","38","13.1%","8.7%",".134",".288",".274",".374",".409",".370","","102","-2.5","12.5","63.5","28.8"
"2018","CLE","2413","6300","216","818","786","135","8.8%","18.9%",".176",".291",".259",".332",".434",".330","","106","13.7","55.1","16.8","28.8"
"1940","NYY","1631","6045","155","817","759","59","10.7%","10.0%",".159",".269",".259",".344",".418",".350","","100","-6.6","-5.4","78.5","28.8"
"2000","SEA","1985","6444","198","907","869","122","12.0%","16.7%",".172",".299",".269",".361",".442",".352","","107","-0.5","64.5","12.0","28.8"
"1910","BOS","1586","5917","43","637","527","194","7.3%","",".092","",".259",".323",".351",".331","","109","-2.5","52.8","32.4","28.7"
"1941","BOS","1727","6179","124","865","804","67","11.1%","9.1%",".147",".298",".283",".366",".430",".372","","106","-10.5","38.4","20.3","28.7"
"1944","CLE","1858","6119","70","643","615","48","8.4%","9.7%",".106",".288",".266",".331",".372",".334","","105","-10.0","27.8","42.8","28.7"
"1889","NYG","1205","5236","52","935","743","292","10.3%","7.4%",".111",".299",".282",".360",".393",".361","","110","-5.2","78.9","40.4","28.7"
"1980","NYY","1868","6329","189","820","772","86","10.2%","11.7%",".157",".277",".267",".343",".425",".343","","113","2.0","98.4","-36.9","28.6"
"1920","NYY","1605","5900","115","837","745","64","9.0%","10.5%",".146",".300",".280",".350",".426",".364","","104","-2.3","26.9","51.6","28.6"
"2019","OAK","2363","6269","257","845","800","49","9.2%","21.3%",".199",".282",".249",".327",".448",".327","","107","-1.7","55.3","18.3","28.6"
"1901","CHW","1285","5397","32","819","656","280","8.8%","",".095","",".276",".350",".370",".345","","105","17.0","58.6","42.9","28.6"
"1993","TOR","1603","6319","159","847","796","170","9.3%","13.6%",".157",".303",".279",".350",".436",".347","","109","15.1","88.1","-3.7","28.6"
"1991","CHW","1874","6360","139","758","722","134","9.6%","14.1%",".129",".288",".262",".336",".391",".328","","104","-2.6","28.4","44.2","28.6"
"1921","CLE","1758","6264","42","925","847","51","9.9%","6.0%",".123",".326",".308",".383",".432",".378","","107","11.4","68.7","10.8","28.6"
"1885","NYG","1014","4250","16","691","464","","5.2%","7.3%",".090",".289",".269",".307",".359",".310","","113","0.0","77.4","73.9","28.6"
"1983","TOR","1811","6213","167","795","749","131","8.2%","13.0%",".159",".296",".277",".338",".436",".343","","108","-3.2","51.8","19.5","28.5"
"1997","BOS","1875","6430","185","851","810","68","8.0%","16.2%",".172",".325",".291",".352",".463",".354","","109","-6.6","65.7","-0.7","28.5"
"1960","MIL","1868","5868","170","724","681","69","7.9%","13.5%",".153",".281",".265",".323",".417",".328","","108","1.1","57.2","24.1","28.5"
"2012","STL","2391","6326","159","765","732","91","8.4%","18.8%",".150",".316",".271",".338",".421",".329","","106","-1.6","46.5","33.9","28.5"
"2002","NYY","2135","6377","223","897","857","100","10.0%","18.4%",".180",".310",".275",".354",".455",".352","","116","-1.0","122.9","-55.4","28.5"
"1947","CLE","1916","5975","112","687","649","29","8.4%","10.2%",".125",".275",".259",".324",".385",".331","","100","-5.3","-8.1","96.3","28.5"
"1969","CIN","2109","6301","171","798","750","79","7.5%","16.5%",".146",".310",".277",".335",".422",".340","","104","-3.1","24.6","23.1","28.4"
"1973","BOS","1629","6223","147","738","692","114","9.3%","12.8%",".134",".287",".267",".338",".401",".334","","102","8.1","23.0","40.3","28.3"
"1956","BOS","1908","6215","139","780","752","28","11.7%","11.1%",".144",".292",".275",".362",".419",".350","","99","2.1","-2.9","72.1","28.3"
"1998","STL","2305","6413","223","810","781","133","10.5%","18.4%",".183",".289",".258",".341",".441",".340","","104","8.7","39.8","47.7","28.3"
"1976","PIT","2029","6177","110","708","660","130","7.0%","13.1%",".123",".293",".267",".321",".391",".325","","101","7.8","13.3","47.2","28.3"
"1954","BRO","1865","6058","186","778","741","46","10.5%","10.3%",".174",".274",".270",".349",".444",".361","","104","-1.9","25.6","58.9","28.3"
"2012","MIL","2415","6224","202","776","741","158","7.5%","19.9%",".177",".299",".259",".325",".437",".329","","102","12.1","29.5","52.2","28.3"
"1985","LAD","2209","6224","129","682","632","136","8.7%","13.6%",".122",".285",".261",".328",".382",".316","","102","2.1","17.3","52.2","28.3"
"1995","CIN","2042","5575","161","747","694","190","9.3%","17.0%",".169",".303",".270",".342",".440",".342","","104","7.0","37.0","63.3","28.3"
"1966","DET","2043","6195","179","719","682","41","8.9%","15.9%",".155",".275",".251",".321",".406",".321","","107","-1.7","47.2","43.9","28.3"
"1967","PIT","2078","6255","91","679","615","79","6.2%","14.6%",".103",".314",".277",".324",".380",".313","","101","5.9","13.9","26.7","28.3"
"1925","WAS","1786","5984","56","828","747","135","9.0%","7.0%",".108",".322",".304",".374",".412",".366","","103","0.2","24.6","63.8","28.3"
"1886","CHI","1146","4838","53","900","673","213","9.5%","10.6%",".121",".307",".279",".348",".401",".353","","115","-1.9","106.2","15.4","28.3"
"2013","TBR","2423","6242","165","700","670","73","9.4%","18.8%",".151",".295",".257",".329",".408",".324","","107","2.5","50.1","9.2","28.2"
"2003","SFG","2272","6204","180","755","713","53","9.6%","15.8%",".161",".291",".264",".338",".425",".330","","100","-8.3","-11.7","94.8","28.2"
"1914","IND","1604","5907","33","762","629","273","8.0%","10.9%",".098",".320",".285",".349",".383",".354","","102","35.9","50.4","12.7","28.2"
"2002","ANA","2307","6327","152","851","811","117","7.3%","12.7%",".150",".303",".282",".341",".433",".336","","105","12.5","49.4","16.5","28.2"
"1905","CHW","1520","5852","11","614","487","194","7.5%","",".067","",".237",".305",".304",".299","","100","2.0","-0.3","78.6","28.1"
"1974","PIT","2065","6366","114","751","692","55","8.1%","13.0%",".118",".300",".274",".335",".391",".330","","105","0.5","39.3","20.6","28.1"
"1982","MON","2052","6221","133","697","656","156","8.1%","13.1%",".134",".284",".262",".325",".396",".320","","102","9.2","23.3","37.0","28.1"
"1930","PHA","1703","6161","125","951","895","50","9.7%","8.6%",".158",".309",".294",".369",".452",".369","","104","-6.7","32.2","48.4","28.1"
"1979","BOS","1733","6184","194","841","805","60","8.3%","11.4%",".173",".292",".283",".344",".456",".353","","108","-3.4","53.9","16.9","28.1"
"1976","MIN","1763","6307","81","743","691","146","8.7%","11.3%",".102",".299",".274",".341",".375",".332","","111","-0.4","70.0","-6.8","28.1"
"2006","NYM","2279","6291","200","834","800","146","8.7%","17.0%",".181",".293",".264",".334",".445",".334","","99","20.5","13.8","66.4","28.1"
"2001","OAK","1830","6385","199","884","835","68","10.0%","16.0%",".175",".288",".264",".345",".439",".338","","108","0.6","64.5","0.4","28.0"
"1983","BAL","1892","6273","168","799","761","61","9.6%","12.8%",".152",".286",".269",".340",".421",".339","","111","-1.8","77.5","-14.9","28.0"
"1933","CHC","1653","5785","72","646","608","52","6.8%","8.2%",".109",".287",".271",".325",".380",".328","","103","9.3","30.1","72.9","28.0"
"2018","MIL","2496","6210","218","754","711","124","8.6%","23.5%",".172",".302",".252",".323",".424",".322","","100","8.2","7.7","68.3","28.0"
"2004","LAD","2357","6244","203","761","731","102","8.6%","17.5%",".161",".291",".262",".332",".423",".327","","97","1.7","-19.9","96.8","28.0"
"1919","CHW","1450","5360","25","668","571","150","8.0%","6.7%",".093",".307",".287",".351",".380",".350","","106","1.5","37.7","27.2","27.9"
"1912","CHC","1642","5830","42","756","639","164","9.6%","10.5%",".110",".309",".277",".354",".386",".357","","104","-10.6","16.8","58.5","27.9"
"1927","STL","1687","5888","84","754","700","110","8.2%","8.7%",".129",".296",".278",".343",".408",".349","","99","18.0","11.8","82.5","27.9"
"2017","MIA","2399","6248","194","778","743","91","7.8%","20.5%",".163",".313",".267",".331",".431",".325","","101","1.4","9.0","65.7","27.9"
"1964","MIN","2065","6318","221","737","707","46","8.8%","16.1%",".175",".270",".252",".322",".427",".331","","104","2.7","34.6","52.3","27.9"
"1970","OAK","2186","6105","171","678","630","131","9.6%","16.0%",".143",".274",".249",".325",".392",".322","","101","1.1","6.3","75.7","27.9"
"1982","DET","1734","6166","177","729","684","93","7.6%","13.1%",".152",".282",".266",".324",".418",".331","","103","-7.3","17.3","58.1","27.9"
"1936","NYG","1778","6038","97","742","687","31","7.1%","7.5%",".115",".292",".281",".337",".395",".339","","98","3.6","-9.5","99.8","27.8"
"1950","DET","1799","6232","114","837","788","23","11.6%","7.7%",".135",".293",".282",".369",".417",".364","","100","-14.9","-12.7","75.4","27.8"
"1995","CLE","1527","5686","207","840","803","132","9.5%","13.5%",".188",".306",".291",".361",".479",".366","","115","1.8","116.2","-24.1","27.8"
"1939","STL","1944","6116","98","779","732","44","7.8%","9.3%",".138",".314",".294",".354",".432",".361","","104","6.3","40.0","55.4","27.8"
"1993","BAL","1687","6310","157","786","744","73","10.4%","14.7%",".146",".293",".267",".346",".413",".338","","104","-6.4","24.3","52.8","27.8"
"1987","TOR","1893","6295","215","845","790","126","8.8%","15.4%",".177",".290",".269",".336",".446",".339","","105","1.4","39.9","26.5","27.8"
"1978","NYY","1775","6220","125","735","693","98","8.1%","11.2%",".122",".283",".267",".329",".388",".325","","104","4.2","34.1","28.2","27.8"
"1965","CHW","2176","6217","125","647","587","50","8.6%","14.7%",".118",".272",".246",".315",".364",".303","","98","-2.2","-17.1","92.5","27.8"
"2010","MIN","2290","6257","142","781","749","68","8.9%","15.5%",".148",".306",".273",".341",".422",".335","","106","-15.8","29.5","17.9","27.8"
"2007","NYM","2335","6344","177","804","761","200","8.7%","15.5%",".157",".303",".275",".342",".432",".336","","100","14.2","17.4","57.5","27.7"
"1982","PIT","2159","6235","134","724","688","161","7.2%","13.8%",".134",".299",".273",".327",".408",".324","","102","2.7","19.5","36.7","27.7"
"1890","BRO","1166","4977","43","884","691","349","10.4%","7.3%",".105",".280",".264",".346",".369",".349","","111","15.0","97.8","47.8","27.7"
"1978","BAL","1895","6081","154","659","612","75","9.1%","14.2%",".138",".280",".258",".326",".396",".327","","108","-7.7","47.6","17.7","27.7"
"2011","TBR","2284","6152","172","707","674","155","9.3%","19.4%",".159",".281",".244",".322",".402",".319","","103","10.4","35.1","23.1","27.7"
"1978","KCR","1838","6129","98","743","695","216","8.1%","10.5%",".131",".285",".268",".329",".399",".327","","103","11.8","30.9","34.2","27.7"
"1937","NYG","1692","5862","111","732","677","45","7.0%","8.4%",".125",".291",".278",".334",".403",".339","","100","5.8","4.8","86.5","27.7"
"1964","BAL","2033","6143","162","679","632","78","8.7%","16.6%",".138",".276",".248",".316",".387",".312","","97","3.1","-16.7","112.2","27.7"
"1993","PHI","2195","6527","156","877","811","91","10.2%","16.1%",".153",".309",".274",".351",".426",".344","","106","6.4","53.1","-7.4","27.7"
"1924","WAS","1687","6099","22","753","688","116","8.3%","6.3%",".094",".314",".294",".362",".388",".354","","98","2.6","-15.7","80.1","27.6"
"1998","TEX","1876","6401","201","940","894","82","9.3%","16.3%",".173",".321",".289",".357",".462",".357","","108","-4.1","60.8","-0.4","27.6"
"1970","BOS","1973","6250","203","786","743","50","9.5%","13.7%",".166",".276",".262",".335",".428",".340","","104","-7.1","21.0","52.4","27.6"
"1886","PIT","1267","5370","16","810","563","260","8.9%","",".088","",".241",".314",".329",".309","","107","6.0","62.7","43.3","27.6"
"2013","DET","2274","6388","176","796","767","35","8.3%","16.8%",".151",".320",".283",".346",".434",".341","","114","-19.0","83.7","-35.3","27.6"
"2005","BOS","2344","6403","199","910","863","45","10.2%","16.3%",".174",".310",".281",".357",".454",".352","","112","-2.9","92.8","-33.9","27.6"
"1973","LAD","1973","6267","110","675","623","109","7.9%","12.7%",".108",".287",".263",".323",".371",".312","","96","5.0","-26.3","94.8","27.6"
"1908","PIT","1571","5753","25","585","496","186","7.3%","",".085","",".247",".309",".332",".315","","104","1.7","24.5","32.6","27.6"
"1904","CLE","1433","5669","27","647","553","178","5.4%","",".094","",".260",".308",".354",".317","","109","2.0","55.0","7.7","27.5"
"1936","CHC","1702","6069","76","755","707","68","8.1%","7.6%",".106",".302",".286",".349",".392",".345","","100","10.8","10.9","76.5","27.5"
"1997","SFG","2249","6296","172","784","746","121","10.2%","17.8%",".156",".292",".258",".337",".414",".329","","99","3.5","-3.9","82.5","27.5"
"1985","TOR","1878","6107","158","759","714","144","8.2%","13.2%",".156",".289",".269",".331",".425",".334","","104","-3.7","23.0","44.6","27.5"
"1887","DET","1147","5079","55","969","818","267","6.9%","5.1%",".134",".308",".299",".353",".434",".363","","114","-27.6","90.7","50.7","27.5"
"1982","STL","2187","6198","67","685","632","200","9.2%","13.0%",".100",".296",".264",".334",".364",".313","","95","4.2","-32.7","90.6","27.5"
"2004","SFG","2405","6466","183","850","805","43","10.9%","13.5%",".168",".290",".270",".357",".438",".340","","105","-6.0","35.7","28.4","27.5"
"1925","DET","1858","6262","50","901","798","97","10.2%","6.1%",".111",".319",".302",".380",".413",".370","","102","6.8","21.3","50.2","27.5"
"1930","BRO","1752","6088","122","871","836","53","7.9%","8.9%",".150",".321",".304",".364",".454",".367","","98","10.1","-6.4","92.2","27.5"
"1977","PIT","2148","6263","133","734","678","260","7.6%","14.0%",".140",".302",".274",".331",".413",".327","","97","7.7","-14.9","81.7","27.5"
"1992","DET","1671","6310","182","791","746","66","10.7%","16.7%",".151",".284",".256",".337",".407",".337","","108","-5.7","49.8","8.0","27.4"
"1979","KCR","1762","6350","116","851","791","207","8.3%","10.6%",".140",".300",".282",".343",".422",".339","","104","12.6","45.7","13.4","27.4"
"1947","NYG","1809","5924","221","830","790","29","8.3%","9.6%",".183",".269",".271",".335",".454",".363","","105","4.8","39.1","29.4","27.4"
"1980","OAK","1723","6160","137","686","635","175","8.2%","13.4%",".126",".281",".259",".322",".385",".318","","98","1.8","-15.4","77.5","27.4"
"2009","LAD","2352","6385","145","780","739","116","9.5%","16.7%",".141",".309",".270",".346",".412",".332","","102","4.0","18.7","55.4","27.4"
"1989","BOS","1702","6455","108","774","716","56","10.0%","11.7%",".125",".301",".277",".351",".403",".340","","109","-5.4","63.5","-19.8","27.4"
"1999","HOU","2043","6403","168","823","784","166","11.4%","17.8%",".154",".306",".267",".355",".420",".341","","101","-0.7","7.5","71.8","27.4"
"1911","CHC","1641","5959","54","757","626","214","9.8%","10.4%",".113",".287",".260",".341",".374",".346","","101","0.4","9.8","64.7","27.4"
"1920","SLB","1609","6029","50","797","707","121","7.0%","5.6%",".111",".322",".308",".363",".419",".368","","103","11.9","35.8","25.3","27.4"
"1967","BAL","1986","6164","138","654","624","54","8.6%","16.3%",".131",".269",".240",".310",".372",".306","","101","0.6","6.0","75.9","27.4"
"1989","OAK","1751","6110","127","712","659","157","9.2%","14.0%",".120",".286",".261",".331",".381",".323","","107","7.4","57.5","-1.4","27.4"
"1991","MIN","1903","6218","140","776","733","107","8.5%","12.0%",".139",".300",".280",".344",".420",".342","","107","-5.7","46.1","18.4","27.4"
"1952","STL","1850","5845","97","677","643","33","9.2%","8.2%",".124",".279",".267",".340",".391",".341","","101","-0.2","6.1","61.0","27.4"
"1963","PHI","2146","6092","126","642","599","56","6.6%","15.7%",".129",".282",".252",".306",".381",".304","","99","-1.6","-11.4","56.8","27.4"
"2014","BAL","2294","6130","211","705","681","44","6.5%","21.0%",".166",".296",".256",".311",".422",".323","","104","-6.2","21.9","34.4","27.4"
"1967","BOS","2070","6149","158","722","666","68","8.5%","16.6%",".140",".285",".255",".321",".395",".321","","103","-4.3","12.8","67.8","27.3"
"1927","PIT","1710","6077","54","817","759","65","7.2%","5.8%",".107",".320",".305",".361",".412",".360","","103","8.5","34.9","48.2","27.3"
"1999","ARI","2100","6415","216","908","865","137","9.2%","16.3%",".182",".303",".277",".347",".459",".348","","98","9.9","-7.3","84.6","27.3"
"1893","PHI","1255","5690","80","1011","865","202","8.2%","5.9%",".129",".311",".301",".368",".431",".379","","108","-8.2","69.4","33.4","27.3"
"2012","ATL","2264","6126","149","700","660","101","9.3%","21.0%",".142",".296",".247",".320",".389",".310","","92","7.2","-48.9","123.8","27.3"
"1963","NYY","1879","6067","188","714","666","42","7.2%","13.3%",".151",".264",".252",".309",".403",".316","","100","0.4","0.3","91.7","27.3"
"2019","BOS","2455","6475","245","901","857","68","9.1%","21.3%",".197",".313",".269",".340",".466",".338","","106","-7.0","41.7","10.9","27.3"
"1956","DET","1880","6143","150","789","745","43","10.5%","10.1%",".141",".289",".279",".356",".420",".348","","105","2.2","38.1","21.7","27.2"
"2007","ATL","2398","6374","176","810","781","64","8.4%","18.0%",".160",".314",".275",".339",".435",".337","","99","-6.2","-12.5","80.4","27.2"
"2000","CLE","1930","6512","221","950","889","113","10.5%","16.2%",".182",".318",".288",".367",".470",".364","","109","7.8","89.1","-29.4","27.1"
"2005","STL","2324","6246","170","805","757","83","8.5%","15.2%",".153",".297",".270",".339",".423",".331","","100","9.0","12.4","54.6","27.1"
"1985","BOS","1742","6420","162","800","760","66","8.8%","12.7%",".147",".303",".282",".347",".429",".344","","110","0.3","76.1","-25.8","27.1"
"1943","CLE","1738","5967","55","600","564","47","9.5%","8.7%",".095",".275",".255",".329",".350",".328","","103","-14.1","3.6","55.1","27.1"
"1968","CIN","2123","6286","106","690","638","59","6.0%","14.9%",".116",".308",".273",".320",".389",".319","","105","-6.1","24.1","-10.8","27.1"
"1959","MIL","1939","6010","177","724","683","41","8.1%","12.7%",".152",".278",".265",".326",".417",".327","","105","4.6","38.7","14.5","27.0"
"1996","TEX","1706","6494","221","928","890","83","10.2%","16.0%",".184",".311",".284",".358",".469",".358","","104","3.3","35.7","3.2","27.0"
"1924","DET","1802","6263","35","847","768","100","9.9%","6.3%",".106",".317",".298",".374",".404",".367","","102","4.0","24.9","28.3","27.0"
"1962","MIL","2015","6155","181","730","685","57","9.4%","15.8%",".151",".276",".252",".326",".403",".325","","99","1.2","-6.2","61.0","27.0"
"1980","STL","2102","6204","101","738","688","117","7.3%","12.6%",".125",".302",".275",".328",".400",".324","","101","1.2","5.3","59.3","27.0"
"1920","NYG","1700","5891","46","682","590","131","7.3%","9.3%",".094",".293",".269",".327",".363",".327","","100","-1.6","-5.1","79.1","27.0"
"1980","LAD","2209","6221","148","663","638","123","7.9%","13.6%",".126",".285",".263",".323",".388",".319","","102","-4.7","5.9","57.9","26.9"
"1959","CLE","1849","5860","167","745","682","33","7.4%","12.3%",".145",".275",".263",".321",".408",".324","","101","-5.9","-0.5","95.5","26.9"
"1909","CIN","1623","5813","22","606","507","280","8.2%","",".073","",".250",".319",".323",".318","","101","15.2","23.0","19.9","26.9"
"2013","SFG","2396","6168","107","629","596","67","7.6%","17.5%",".121",".304",".260",".320",".381",".309","","100","-4.1","-1.7","66.3","26.9"
"1914","DET","1718","5909","25","615","513","211","9.4%","9.1%",".086",".285",".258",".336",".344",".333","","102","-32.4","-16.7","36.6","26.9"
"1928","STL","1725","6144","113","807","749","82","9.2%","7.1%",".144",".290",".281",".353",".425",".359","","102","13.3","25.4","53.4","26.9"
"1992","CHW","1724","6267","110","738","686","160","9.9%","12.5%",".122",".283",".261",".336",".383",".326","","104","8.5","37.2","17.8","26.9"
"1909","NYG","1660","5939","26","622","510","234","8.9%","",".074","",".255",".330",".329",".327","","104","3.2","30.4","5.5","26.9"
"1979","MON","2020","6029","143","701","651","121","7.2%","14.8%",".144",".291",".264",".319",".408",".321","","98","3.7","-10.3","70.4","26.8"
"1938","PIT","1696","6007","65","707","659","47","8.1%","6.8%",".109",".292",".279",".340",".388",".338","","101","7.2","12.9","83.0","26.8"
"2019","WSN","2327","6267","231","873","824","116","9.3%","20.9%",".190",".306",".265",".342",".454",".336","","104","3.7","34.7","35.8","26.8"
"2017","CHC","2420","6283","223","822","785","62","9.9%","22.3%",".182",".302",".255",".338",".437",".331","","101","-6.8","4.8","57.6","26.8"
"1971","SFG","2069","6258","140","706","653","101","10.5%","16.7%",".131",".280",".247",".329",".378",".321","","100","8.2","8.5","30.9","26.8"
"2004","CLE","2287","6452","184","858","820","94","9.4%","15.6%",".168",".305",".276",".351",".444",".345","","109","-4.7","72.7","-18.2","26.8"
"1915","BOS","1748","5865","14","668","575","118","9.0%","8.1%",".079",".285",".260",".336",".339",".331","","104","-22.3","0.8","44.8","26.7"
"2017","CLE","2367","6234","212","818","780","88","9.7%","18.5%",".186",".295",".263",".339",".449",".336","","105","11.1","48.8","6.8","26.7"
"1993","CHW","1693","6253","162","776","731","106","9.7%","13.3%",".146",".284",".265",".338",".411",".333","","104","-1.1","26.8","41.3","26.7"
"1987","PIT","2191","6225","131","723","684","140","8.6%","14.7%",".138",".293",".264",".330",".403",".319","","92","0.8","-59.6","114.4","26.7"
"2004","PHI","2317","6456","215","840","802","100","10.0%","17.5%",".176",".297",".267",".345",".443",".340","","100","5.5","5.8","50.4","26.7"
"1974","BAL","1713","6230","116","659","608","145","8.2%","12.4%",".113",".277",".256",".322",".370",".317","","103","8.1","27.7","25.1","26.6"
"1969","WAS","2227","6196","148","694","640","52","10.2%","14.5%",".128",".274",".251",".330",".378",".322","","101","-2.4","3.7","66.7","26.6"
"1993","CHC","2268","6217","161","738","706","100","7.2%","14.8%",".143",".297",".270",".325",".414",".326","","95","3.4","-35.8","82.3","26.6"
"1979","CIN","2072","6218","132","731","686","99","9.9%","14.5%",".132",".292",".264",".338",".396",".327","","100","2.8","2.2","49.1","26.6"
"1922","DET","1739","6168","54","828","735","78","8.6%","6.2%",".110",".323",".306",".373",".416",".367","","106","4.6","56.4","18.6","26.6"
"1964","CHW","2090","6246","106","642","586","75","9.0%","14.4%",".106",".276",".247",".320",".353",".301","","93","2.2","-51.4","136.2","26.6"
"1890","BSR","1222","5321","54","992","772","412","12.3%","8.2%",".116",".303",".282",".376",".398",".377","","106","18.9","77.4","-11.6","26.6"
"1920","STL","1738","6086","32","675","600","126","6.1%","8.0%",".096",".313",".289",".337",".385",".340","","109","-2.2","55.0","5.7","26.6"
"1979","STL","2110","6347","100","731","685","116","7.2%","13.2%",".123",".307",".278",".331",".401",".324","","98","-2.8","-17.7","64.4","26.6"
"1982","LAD","2257","6361","138","691","661","151","8.3%","12.6%",".124",".284",".264",".327",".388",".318","","101","8.2","17.2","24.2","26.6"
"2001","COL","2179","6394","213","923","874","132","8.0%","16.1%",".191",".322",".292",".354",".483",".357","","95","2.6","-41.9","102.6","26.5"
"1998","CLE","1852","6376","198","850","811","143","9.9%","16.6%",".176",".302",".272",".347",".448",".347","","103","2.0","29.1","20.9","26.5"
"1898","BSN","1445","5847","53","872","761","172","6.9%","",".087","",".290",".344",".377",".350","","99","-0.8","-7.9","67.6","26.5"
"2003","NYY","2180","6431","230","877","845","98","10.6%","16.2%",".182",".295",".271",".356",".453",".351","","115","-0.3","119.4","-72.0","26.5"
"1955","CHW","1960","6000","116","725","677","69","9.5%","9.9%",".120",".282",".268",".344",".388",".332","","97","0.8","-20.3","70.7","26.5"
"1990","TOR","1679","6223","167","767","729","111","8.5%","15.6%",".155",".291",".265",".328",".419",".333","","107","-0.7","49.5","8.4","26.5"
"1965","PIT","2086","6249","111","675","631","51","6.7%","16.1%",".117",".303",".265",".317",".382",".309","","95","-3.8","-38.9","87.4","26.5"
"1889","BRO","1267","5414","47","995","761","389","10.2%","7.4%",".101",".279",".263",".344",".364",".343","","105","14.0","57.5","29.6","26.5"
"1941","STL","1809","6152","70","734","664","47","8.8%","8.8%",".106",".291",".272",".340",".377",".338","","99","6.5","-4.1","81.1","26.5"
"1934","NYG","1777","5934","126","760","716","19","6.8%","8.9%",".130",".286",".275",".329",".405",".337","","97","1.3","-18.7","94.4","26.4"
"1955","BOS","1822","6131","137","755","709","43","11.5%","11.9%",".138",".281",".264",".351",".402",".340","","96","7.2","-25.5","70.4","26.4"
"2003","PHI","2227","6333","166","791","757","72","10.3%","18.2%",".158",".301",".261",".343",".419",".332","","100","1.2","1.3","59.1","26.4"
"1988","MIN","1812","6181","151","759","710","107","8.5%","13.5%",".147",".296",".274",".340",".421",".340","","108","-7.5","50.8","-5.6","26.4"
"2003","HOU","2390","6320","191","805","763","66","8.8%","16.2%",".169",".289",".263",".336",".431",".333","","97","10.9","-15.9","76.6","26.4"
"1977","BAL","1894","6173","148","719","677","90","9.1%","15.3%",".132",".289",".261",".329",".393",".321","","103","2.0","26.8","24.2","26.4"
"1971","LAD","1992","6155","95","663","631","76","7.9%","12.3%",".104",".291",".266",".325",".370",".315","","101","1.7","8.0","31.2","26.4"
"1990","NYM","2107","6182","172","775","734","110","8.7%","13.8%",".152",".273",".256",".323",".408",".325","","103","6.7","30.0","4.9","26.4"
"1925","STL","1661","5936","109","828","752","70","7.5%","7.0%",".146",".309",".299",".356",".445",".366","","102","4.3","22.1","49.7","26.4"
"1967","CHC","1920","6148","128","702","642","63","8.3%","14.8%",".127",".278",".251",".316",".378",".310","","94","-2.1","-40.6","73.8","26.3"
"1884","NYM","1011","4250","22","734","112","","4.8%","",".087","",".262",".304",".349",".301","","111","0.0","68.4","71.4","26.3"
"1955","MIL","1782","5920","182","743","699","42","8.5%","12.4%",".166",".272",".261",".326",".427",".334","","105","2.0","35.6","57.0","26.3"
"2018","HOU","2348","6146","205","797","763","71","9.2%","19.5%",".170",".289",".255",".329",".425",".327","","110","-7.0","64.6","-11.5","26.3"
"2019","ATL","2411","6302","249","855","824","89","9.8%","23.3%",".195",".305",".258",".336",".452",".332","","101","11.0","18.3","46.2","26.3"
"1983","STL","2242","6242","83","679","636","207","8.7%","14.1%",".115",".305",".270",".335",".384",".321","","100","5.2","6.7","44.0","26.3"
"2017","STL","2416","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".326","","101","2.0","8.4","51.4","26.3"
"1986","SFG","2251","6212","114","698","637","148","8.6%","17.5%",".122",".295",".253",".322",".375",".309","","95","-8.2","-42.2","97.7","26.3"
"1885","CHI","1024","4433","54","834","606","","7.7%","9.7%",".121",".284",".264",".320",".385",".328","","114","0.0","86.2","36.4","26.3"
"1999","TEX","1807","6389","230","945","897","111","9.6%","14.7%",".186",".313",".293",".361",".479",".363","","109","-2.1","74.6","-20.4","26.3"
"1921","DET","1705","6293","58","887","793","95","9.2%","5.9%",".118",".331",".316",".385",".433",".379","","110","0.6","86.9","-31.3","26.2"
"2014","WSN","2265","6216","152","686","635","101","8.3%","21.0%",".140",".303",".253",".321",".393",".317","","99","15.3","8.4","42.4","26.2"
"1994","HOU","1504","4500","120","602","573","124","8.8%","16.0%",".167",".311",".278",".347",".445",".343","","109","5.5","60.3","58.4","26.2"
"1919","CIN","1423","5214","20","578","489","143","7.8%","7.1%",".079",".283",".263",".327",".342",".323","","106","1.7","32.2","57.8","26.1"
"1967","SFG","2109","6205","140","652","604","22","8.4%","15.8%",".127",".274",".245",".313",".372",".308","","96","-3.2","-27.3","54.1","26.1"
"2006","SDP","2396","6287","161","731","698","123","9.0%","17.6%",".154",".299",".263",".332",".416",".325","","99","5.2","-5.0","65.1","26.1"
